,Ticker,Co_name
501,OMAXE.NS,Omaxe Limited
502,OMAXE.BO,Omaxe Ltd.
503,OMAXAUTO.NS,Omax Autos Limited
504,OKPLA.BO,OK Play India Limited
505,OIL.NS,Oil India Limited
506,OIL.BO,Oil India Limited
507,OCL.BO,OCL India Limited
508,OBEROIRLTY.NS,Oberoi Realty Limited
509,MRUTIOR--.BO,MARUTI ORGANICS LTD.
510,MCX.NS,Multi Commodity Exchange of India Limited
511,M100.NS,Motilal Oswal MOSt Shares Midcap 100 ETF
512,LAOPALA.NS,La Opala RG Limited
513,LAHOTIOV.BO,Lahoti Overseas Limited
514,IOC.BO,Indian Oil Corporation Limited
515,IOB.BO,Indian Overseas Bank
516,GKB.BO,GKB Ophthalmics Ltd
517,CENTRALBK.BO,Central Bank of India
518,BIRLAERIC.NS,Birla Cable Limited
519,BANKINDIA.NS,Bank of India Limited
520,BANG.NS,Bang Overseas Limited
521,BANG.BO,Bang Overseas Ltd.
522,AKSHOPTFBR.BO,Aksh Optifibre Limited
523,ACGL.BO,Automobile Corp. of Goa Ltd.
524,ABAN.NS,Aban Offshore Limited
525,ONWARDTEC.NS,Onward Technologies Limited
526,OCEAGRO.BO,Ocean Agro (India) Limited
527,TRANSPEKF.BO,Optimus Finance Limited
528,OXIDE.BO,OXIDES & SPECIALITIES LTD.
529,GULFOILLUB.BO,GULF OIL LUBRICANTS INDIA LTD
